id,title,current_alt,proposed_alt
gid://shopify/Product/8148142719045,3 CUT 9/0 CRYSTAL LUSTER YELLOW LINED PRECIOSA ORNELA BEADS,,3 Cut 9/0 Crystal Luster Yellow Lined Preciosa Ornela Beads
gid://shopify/Product/8148144488517,3 CUT 9/0 CRYSTAL LUSTER LT. PEACH LINED PRECIOSA ORNELA BEADS,,3 Cut 9/0 Crystal Luster Light Peach Lined Preciosa Ornela Beads
gid://shopify/Product/8148146421829,3 CUT 9/0 CRYSTAL LUSTER PEACH LINED PRECIOSA ORNELA BEADS,,3 Cut 9/0 Crystal Luster Peach Lined Preciosa Ornela Beads
gid://shopify/Product/8148148092997,3 CUT 9/0 CRYSTAL LUSTER STRAWBERRY LINED PRECIOSA ORNELA BEADS,,3 Cut 9/0 Crystal Luster Strawberry Lined Preciosa Ornela Beads
gid://shopify/Product/8148190462021,3 CUT 9/0 CREAM LUSTER BLUE LINED PRECIOSA ORNELA BEADS,,3 Cut 9/0 Cream Luster Blue Lined Preciosa Ornela Beads
gid://shopify/Product/8148192657477,3 CUT 9/0 CREAM LUSTER MINT GREEN LINED PRECIOSA ORNELA BEADS,,3 Cut 9/0 Cream Luster Mint Green Lined Preciosa Ornela Beads
gid://shopify/Product/8148193509445,3 CUT 9/0 CREAM LUSTER RED LINED PRECIOSA ORNELA BEADS,,3 Cut 9/0 Cream Luster Red Lined Preciosa Ornela Beads
gid://shopify/Product/8148194754629,3 CUT 9/0 TOPAZ RAINBOW BROWN LINED PRECIOSA ORNELA BEADS,,3 Cut 9/0 Topaz Rainbow Brown Lined Preciosa Ornela Beads
gid://shopify/Product/8148198096965,3 CUT 9/0 LT. SAPPHIRE LUSTER VIOLET LINED PRECIOSA ORNELA BEADS,,3 Cut 9/0 Light Sapphire Luster Violet Lined Preciosa Ornela Beads
gid://shopify/Product/8148200554565,3 CUT 9/0 AQUA LUSTER BEIGE LINED PRECIOSA ORNELA BEADS,,3 Cut 9/0 Aqua Luster Beige Lined Preciosa Ornela Beads
gid://shopify/Product/8148205699141,3 CUT 9/0 AQUA LUSTER RED LINED PRECIOSA ORNELA BEADS,,3 Cut 9/0 Aqua Luster Red Lined Preciosa Ornela Beads
gid://shopify/Product/8148209696837,3 CUT 9/0 CITRINE LUSTER LT.GREEN LINED PRECIOSA ORNELA BEADS,,3 Cut 9/0 Citrine Luster Light Green Lined Preciosa Ornela Beads
gid://shopify/Product/8148212121669,3 CUT 9/0 CITRINE  LUSTER ORANGE LINED PRECIOSA ORNELA BEADS,,3 Cut 9/0 Citrine Luster Orange Lined Preciosa Ornela Beads
gid://shopify/Product/8148213039173,3 CUT 9/0 TANGERINE LUSTER OLIVE LINED PRECIOSA ORNELA BEADS,,3 Cut 9/0 Tangerine Luster Olive Lined Preciosa Ornela Beads
gid://shopify/Product/8150946644037,CZECH RHINESTONE CHAIN MACHINE CUT CRYSTAL - 6.5ss,,CZECH RHINESTONE CHAIN MACHINE CUT CRYSTAL - 6.5ss
gid://shopify/Product/8151078240325,CZECH RHINESTONE CHAIN MACHINE CUT CRYSTAL - 8.5ss,,CZECH RHINESTONE CHAIN MACHINE CUT CRYSTAL - 8.5ss
gid://shopify/Product/8151079157829,CZECH RHINESTONE CHAIN MACHINE CUT CRYSTAL - 12ss,,CZECH RHINESTONE CHAIN MACHINE CUT CRYSTAL - 12ss
gid://shopify/Product/8151081975877,CZECH RHINESTONE CHAIN MACHINE CUT CRYSTAL - 14.5ss,,CZECH RHINESTONE CHAIN MACHINE CUT CRYSTAL - 14.5ss
gid://shopify/Product/8151084269637,CZECH RHINESTONE CHAIN MACHINE CUT CRYSTAL - 16ss,,CZECH RHINESTONE CHAIN MACHINE CUT CRYSTAL - 16ss
gid://shopify/Product/8151084761157,CZECH RHINESTONE CHAIN MACHINE CUT CRYSTAL - 18ss,,CZECH RHINESTONE CHAIN MACHINE CUT CRYSTAL - 18ss
gid://shopify/Product/8151086825541,CZECH RHINESTONE CHAIN MACHINE CUT CRYSTAL - 29ss,,CZECH RHINESTONE CHAIN MACHINE CUT CRYSTAL - 29ss
gid://shopify/Product/8163312795717,Round Leather Cord - Black 0.5mm,,Round Leather Cord - Black 0.5mm
gid://shopify/Product/8163415851077,Round Leather Cord - Black 1.0mm,,Round Leather Cord - Black 1.0mm
gid://shopify/Product/8163416375365,Round Leather Cord - Black 2.0mm,,Round Leather Cord - Black 2.0mm
gid://shopify/Product/8163420274757,Round Leather Cord - Black 3.0mm,,Round Leather Cord - Black 3.0mm
gid://shopify/Product/8163426402373,Round Leather Cord - Natural 1.0mm,,Round Leather Cord - Natural 1.0mm
gid://shopify/Product/8163429613637,Round Leather Cord - Natural 2.0mm,,Round Leather Cord - Natural 2.0mm
