Product,SKU,Inventory Item ID,Quantity
"Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 20ss – 10 Gross (1,440 pcs) (LIGHT AMETHYST)",11110-20ss-20020,gid://shopify/InventoryItem/46947555049541,15
"Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 20ss – 10 Gross (1,440 pcs) (AMETHYST)",11110-20ss-20050,gid://shopify/InventoryItem/46947555082309,15
"Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 20ss – 10 Gross (1,440 pcs) (JET BLACK)",11110-20ss-23980,gid://shopify/InventoryItem/46947555115077,15
"Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 20ss – 10 Gross (1,440 pcs) (LIGHT SAPPHIRE)",11110-20ss-30020,gid://shopify/InventoryItem/46947555147845,15
"Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 20ss – 10 Gross (1,440 pcs) (SAPPHIRE)",11110-20ss-30050,gid://shopify/InventoryItem/46947555180613,15
"Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 20ss – 10 Gross (1,440 pcs) (DARK SAPPHIRE)",11110-20ss-30080,gid://shopify/InventoryItem/46947836690501,15
"Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 20ss – 10 Gross (1,440 pcs) (MONTANA SAPPHIRE)",11110-20ss-30340,gid://shopify/InventoryItem/46947555213381,15
Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 30ss – 2 Gross (288 pcs) (CRYSTAL),11110-30ss-00030,gid://shopify/InventoryItem/46948007247941,15
Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 30ss – 2 Gross (288 pcs) (TOPAZ),11110-30ss-10070,gid://shopify/InventoryItem/46948018389061,15
Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 30ss – 2 Gross (288 pcs) (SMOKE TOPAZ),11110-30ss-10220,gid://shopify/InventoryItem/46948007313477,15
Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 30ss – 2 Gross (288 pcs) (LIGHT AMETHYST),11110-30ss-20020,gid://shopify/InventoryItem/46948007346245,15
Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 30ss – 2 Gross (288 pcs) (AMETHYST),11110-30ss-20050,gid://shopify/InventoryItem/46948007379013,15
Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 30ss – 2 Gross (288 pcs) (JET BLACK),11110-30ss-23980,gid://shopify/InventoryItem/46948007411781,15
Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 30ss – 2 Gross (288 pcs) (LIGHT SAPPHIRE),11110-30ss-30020,gid://shopify/InventoryItem/46948007444549,15
Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 30ss – 2 Gross (288 pcs) (SAPPHIRE),11110-30ss-30050,gid://shopify/InventoryItem/46948007477317,15
Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 30ss – 2 Gross (288 pcs) (DARK SAPPHIRE),11110-30ss-30080,gid://shopify/InventoryItem/46948007510085,15
Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 30ss – 2 Gross (288 pcs) (MONTANA SAPPHIRE),11110-30ss-30340,gid://shopify/InventoryItem/46948007542853,15
Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 34ss – 2 Gross (288 pcs) (CRYSTAL),11110-34ss-00030,gid://shopify/InventoryItem/46948298162245,15
Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 34ss – 2 Gross (288 pcs) (TOPAZ),11110-34ss-10070,gid://shopify/InventoryItem/46948298195013,15
Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 34ss – 2 Gross (288 pcs) (SMOKE TOPAZ),11110-34ss-10220,gid://shopify/InventoryItem/46948298227781,15
Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 34ss – 2 Gross (288 pcs) (LIGHT AMETHYST),11110-34ss-20020,gid://shopify/InventoryItem/46948298260549,15
Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 34ss – 2 Gross (288 pcs) (AMETHYST),11110-34ss-20050,gid://shopify/InventoryItem/46948298293317,15
Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 34ss – 2 Gross (288 pcs) (JET BLACK),11110-34ss-23980,gid://shopify/InventoryItem/46948298326085,15
Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 34ss – 2 Gross (288 pcs) (LIGHT SAPPHIRE),11110-34ss-30020,gid://shopify/InventoryItem/46948298358853,15
Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 34ss – 2 Gross (288 pcs) (SAPPHIRE),11110-34ss-30050,gid://shopify/InventoryItem/46948298391621,15
Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 34ss – 2 Gross (288 pcs) (DARK SAPPHIRE),11110-34ss-30080,gid://shopify/InventoryItem/46948298424389,15
Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 34ss – 2 Gross (288 pcs) (MONTANA SAPPHIRE),11110-34ss-30340,gid://shopify/InventoryItem/46948298457157,15
Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 40ss – 1 Gross (144 pcs) (CRYSTAL),11110-40ss-00030,gid://shopify/InventoryItem/46948362125381,15
Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 40ss – 1 Gross (144 pcs) (TOPAZ),11110-40ss-10070,gid://shopify/InventoryItem/46948362158149,15
Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 40ss – 1 Gross (144 pcs) (SMOKE TOPAZ),11110-40ss-10220,gid://shopify/InventoryItem/46948362190917,15
Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 40ss – 1 Gross (144 pcs) (LIGHT AMETHYST),11110-40ss-20020,gid://shopify/InventoryItem/46948362223685,15
Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 40ss – 1 Gross (144 pcs) (AMETHYST),11110-40ss-20050,gid://shopify/InventoryItem/46948362256453,15
Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 40ss – 1 Gross (144 pcs) (JET BLACK),11110-40ss-23980,gid://shopify/InventoryItem/46948362289221,15
Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 40ss – 1 Gross (144 pcs) (LIGHT SAPPHIRE),11110-40ss-30020,gid://shopify/InventoryItem/46948362321989,15
Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 40ss – 1 Gross (144 pcs) (SAPPHIRE),11110-40ss-30050,gid://shopify/InventoryItem/46948362354757,15
Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 40ss – 1 Gross (144 pcs) (DARK SAPPHIRE),11110-40ss-30080,gid://shopify/InventoryItem/46948362387525,15
Preciosa & Jablonex Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 40ss – 1 Gross (144 pcs) (MONTANA SAPPHIRE),11110-40ss-30340,gid://shopify/InventoryItem/46948362420293,15
"Preciosa & Jablonex Hot Fix Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 8ss – 10 Gross (1,440 pcs) (CRYSTAL)",11110HF-8ss-00030,gid://shopify/InventoryItem/46948808917061,15
"Preciosa & Jablonex Hot Fix Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 8ss – 10 Gross (1,440 pcs) (TOPAZ)",11110HF-8ss-10070,gid://shopify/InventoryItem/46948808949829,15
"Preciosa & Jablonex Hot Fix Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 8ss – 10 Gross (1,440 pcs) (SMOKE TOPAZ)",11110HF-8ss-10220,gid://shopify/InventoryItem/46948808982597,15
"Preciosa & Jablonex Hot Fix Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 8ss – 10 Gross (1,440 pcs) (LIGHT AMETHYST)",11110HF-8ss-20020,gid://shopify/InventoryItem/46948809015365,15
"Preciosa & Jablonex Hot Fix Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 8ss – 10 Gross (1,440 pcs) (AMETHYST)",11110HF-8ss-20050,gid://shopify/InventoryItem/46948809048133,15
"Preciosa & Jablonex Hot Fix Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 8ss – 10 Gross (1,440 pcs) (JET BLACK)",11110HF-8ss-23980,gid://shopify/InventoryItem/46948809080901,15
